Project,Address,Address (Obscured),Address_Clean,Watershed,Building Use,"Solar over Ecoroof",Type,Year Built,Size (sf),Number,Latitude(Non Obscured),Longitude (Non Obscured),Confidence (Non Obscured),Latitude,Longitude,Confidence,Depth Min,Depth Max,Depth Notes,Composition,Irrigation,Irrigation Notes,Drainage,Plants,Maintenance,Contractor,Notes
1200 Building,1200 SW 12th Ave,1200 SW 12th Ave,1200 SW 12TH AVE,Willamette,commercial,,Reroof,2010,7500,1,45.51729418,-122.6858215,High,45.51729,-122.686,High,3.5,3.5,,Pro-Gro Light,Yes ,Disposable,,,,,
Ankeny Lofts,2501-2507 SE Ankeny St,2501-2507 SE Ankeny St,2501-2507 SE ANKENY ST,Willamette,commercial,,New,2011,1224,2,45.5226593,-122.6217499,Medium,45.52216,-122.639,High,4,4,,Pro-Gro Extensive,Yes,Hand,,,,,
residence,2835 SW Miles St,SW 29th Ave and SW Miles St,2835 SW MILES ST,Fanno/Tryon,residential,,New,2013,1560,1,45.4708252,-122.7063675,High,45.47068,-122.707,High,5,5,,Unknown,No,,,,,,
Bud Clark Commons,650 NW Irving St,650 NW Irving St,650 NW IRVING ST,Willamette,commercial,,New,2011,3400,1,45.52790833,-122.6853409,Medium,45.52791,-122.685,Medium,,,,Pro-Gro Extensive,Yes,,,,,,
residence,521 SE 18th Ave,SE 18th Ave and SE Stark St,521 SE 18TH AVE,Willamette,residential,,Reroof,2011,160,1,45.51891708,-122.6478577,High,45.51932,-122.648,High,,,,Unknown,No,,,,,,
residence,3808 SW Dosch Rd,SW Dosch Rd and SW Dosch Ct,3808 SW DOSCH RD,Fanno/Tryon,residential,,New,2010,400,1,45.49592972,-122.7112808,High,45.49628,-122.712,High,4,4,,Unknown,Yes,Disposable,,,,,
residence,5035 N Depauw St,N Depauw St and N Hodge Ave,5035 N DEPAUW ST,Columbia Slough,residential,,New,2010,120,1,45.57932281,-122.7222443,High,45.57934,-122.723,High,4,4,,Unknown,,,,,,,
residence,1542 N Simpson Ave,N Simpson St and N Interstate Ave,1542 N SIMPSON AVE,Columbia Slough,residential,,New,2012,1820,2,45.56523514,-122.6832047,High,45.56549,-122.682,High,3.5,3.5,,Pro-Gro Extensive,No,,,,,,
Cully Grove,4745 NE Going St,4745 NE Going St,4745 NE GOING ST,Columbia Slough,commercial,,New,2013,2035,2,45.55755615,-122.6136856,High,45.55696,-122.613,High,3,6,,Pro-Gro Extensive,Yes,,,,,,
residence,2730 NE Schuyler St,NE 28th Ave and NE Schuyler St,2730 NE SCHUYLER ST,Willamette,residential,,Reroof,2009,220,1,45.53553391,-122.6374817,High,45.53571,-122.637,High,4,8,,Unknown,Yes,Hand,,,,,
residence,2846 SE Ankeny St,SE 28th Ave and SE Ankeny St,2846 SE ANKENY ST,Willamette,residential,,New,2012,300,1,45.52190781,-122.6362839,High,45.52214,-122.637,High,4,4,,Phillips Soil Products Intensive B-4 Mix,Yes,Hand,,,,,
East Multnomah Soil and Water Conservation District,5211 N Williams Ave,5211 N Williams Ave,5211 N WILLIAMS AVE,Columbia Slough,commercial,,Reroof,2010,700,1,45.56085968,-122.6673737,High,45.56086,-122.667,High,4,4,,Pro-Gro Extensive,Yes,,,,,,
residence,721 NE Hazelfern Pl,NE Hazelfern Pl and NE Peerless Pl,721 NE HAZELFERN PL,Willamette,residential,,Reroof,2012,220,1,45.52867508,-122.6273346,High,45.52826,-122.627,High,,,,Pro-Gro Extensive,,,,,,,
residence,1411 SE 55th Ave,SE 55th Ave and SE Hawthorne Blvd,1411 SE 55TH AVE,Willamette,residential,,Reroof,2013,730,1,45.51264572,-122.607132,High,45.51200,-122.607,High,,,,Unknown,Yes,Hand,,,,,
400 Building,400 SW 6th Ave,400 SW 6th Ave,400 SW 6TH AVE,Willamette,commercial,,Reroof,2013,2000,1,45.52065659,-122.6773682,High,45.52066,-122.677,High,1,1,,Tray System,No,,,,,,
Cascade Building,520 SW 6th Ave,520 SW 6th Ave,520 SW 6TH AVE,Willamette,commercial,,Reroof,2013,700,1,45.52015677,-122.6779023,High,45.52016,-122.678,High,1,1,,Tray System,No,,,,,,
residence,2611 SW Sunset Blvd,SW 27th Ave and SW Sunset Blvd,2611 SW SUNSET BLVD,Fanno/Tryon,residential,,New,2013,736,1,45.48904037,-122.7041702,High,45.48870,-122.705,High,,,,Unknown,,,,,,,
UP Fields and Schoenfeldt Hall,5620 N Warren St,5620 N Warren St,5620 N WARREN ST,Willamette,institutional,,New,2009,1800,2,45.57577896,-122.731842,High,45.57578,-122.732,High,12,14,,Pro-Gro Intensive Rooftop Soil,Yes ,Drip,Drainage layer (Tremco Tremdrain GR) with overflow roof drain,,UP grounds crew will do ongoing monitoring & maintaing weeds,,
residence,2021 SE 44th Ave,SE 44th Ave and SE Harrison St,2021 SE 44TH AVE,Willamette,residential,,New,2011,780,1,45.50837326,-122.6174393,High,45.50876,-122.617,High,,,,Pro-Gro Semi-intensive Soil,Yes,Micro-sprayer,Drains at 4 corners of roof,"Native mix including licorice fern, yarrow, tufted hairgrass, native sedums and mosses",As needed,Ecoroofs Everywhere,
Gray's Landing,650 SW Lowell St,650 SW Lowell St,650 SW LOWELL ST,Willamette,commercial,Yes,New,2012,30000,1,45.49356461,-122.6714706,High,45.49356,-122.671,High,4,4,,"3.5"" lightweight medium topped with 0.5"" cinder mulch",Yes ,low-flow rotary nozzles,Drainage composite board,"Sedums, succulents, and grasses",REACH CDC owns the roof; will contract green roof company for maintenance,Owner-built,
residence,2634 SE Kelly St,SE 26th Ave and SE Kelly St,2634 SE KELLY ST,Willamette,residential,,Reroof,2013,500,1,45.49959564,-122.6387634,High,45.49982,-122.640,High,,,,Phillips Extensive C media,Yes,,,Sedum mix (from cuttings),,,
BPA Building,911 NE 11th Ave,911 NE 11th Ave,911 NE 11TH AVE,Willamette,governmental,,Reroof,2011,13200,1,45.5292327,-122.6544806,High,45.52923,-122.654,High,5,5,,Phillips Soil Extensive Growing Mix C,Yes ,Mmicro-rotor spray heads,wound plastic filaments,Sedum mix (from cuttings),,,
Hamilton West,1212 SW Clay St,1212 SW Clay St,1212 SW CLAY ST,Willamette,commercial,,New,1999,5850,1,45.51516724,-122.6875763,High,45.51517,-122.688,High,3,3,,Organic and Coarse Aggregate,,,Yes,,,,
residence,235 NE Ivy St,NE Ivy St and NE Martin Luther King Jr Blvd,235 NE IVY ST,Willamette,residential,,Reroof,2012,1365,1,45.54771042,-122.6627045,High,45.54789,-122.662,High,,,,Swanson Bark Rooflite Extensive MC,,,"6"" wide channels filled with lava rock",,,,
residence,6318 SW 32nd Ave,SW 32nd Ave and SW Carolina St,6318 SW 32ND AVE,Fanno/Tryon,residential,,Reroof,2011,220,1,45.47798538,-122.7091904,High,45.47827,-122.709,High,2.5,2.5,,Phillips Soil Extensive Growing Mix C,No,,wound plastic filaments,Sedum mix ,,,
International Harvester Building,79 SE Taylor St,79 SE Taylor St,79 SE TAYLOR ST,Willamette,commercial,Yes,Reroof,2010,5750,1,45.51532745,-122.6651306,High,45.51533,-122.665,High,2.5,2.5,,Phillips Soil Products,Yes,in-line irrigation system,"1/2"" drainage layer","sedums plus Calamagrostis acutiflora, Lavandula stoechas, Delosperma nubingeum, Polystichum neolobatum, Festuca glauca",weeding 2x per year,Greenworks PC,
residence,3033 NE Schuyler St,NE 30th Ave and NE Schuyler St,3033 NE SCHUYLER ST,Willamette,residential,,New,2010,440,1,45.53598785,-122.6342392,High,45.53577,-122.635,High,,,,,No,,,Sedum mix,,,
residence,2313 N Sumner St,N Summer St and N Gay Ave,2313 N SUMNER ST,Willamette,residential,,Reroof,2012,200,1,45.5607605,-122.6912231,High,45.56053,-122.690,High,3.5,3.5,,"soil mix of pumice, perlite, and 4-way soil blend from Mt. Scott Fuel (mixed by hand on site)",Yes,drip - to be removed after plants establish during 1st year,drainage layer,"sedum mix plus other plants (thyme, delosperma, etc.)",periodic weeding,,
K4 Court,5506 NE 31st Ave,5506 NE 31st Ave,5506 NE 31ST AVE,Columbia Slough,commercial,,New,2009,900,10,45.56287698,-122.6337685,High,45.56271,-122.634,High,4,6,,"12 yards total: composite blend consisting of Canadian peet moss (10%), pumice (47%), pumice kale (33%), compost (10%), ammonium phosphate, ferris sulfate, gypsum, apex, and dolomite lime - 69 lbs / cubic foot.",Yes,permanent drip system under planted surface; operational only during summer months,polypropylene / polystyrene drain mat,"438 plants total: Achillea Moonshine, Achillea Walter Funk, Achillea Rose, Allium Glancum, Sedum Angelina, Sedum Lidenkense, and Campanula Birdne Higorst","The property's HOA will manage maintenance, which is limited to weeding and new plantings 2X per year + managing basic irrigation (turned on/off during peak seasons and checked annually).",,
residence,1226 SE 52nd Ave,SE 52nd Ave and SE Salmon St,1226 SE 52ND AVE,Willamette,residential,,Reroof,2010,290,1,45.51379395,-122.6091156,High,45.51424,-122.609,High,4,6,,,,,,"sedums, herbs, kinnikinnik, rushes, sedges",,Enviroscapes NW,
Killingsworth Station,1455 N Killingsworth St,1455 N Killingsworth St,1455 N KILLINGSWORTH ST,Columbia Slough,commercial,Yes,New,2011,20700,4,45.56270465,-122.681878,High,45.56270,-122.682,High,4,4,,"ProGro Extensive (70% pumice, 30% Organic Materials)",Yes,Temporary,,,monitoring & summer irrigation if needed,SolTerra Systems,
residence,1705 SE Ash St,SE 17th Ave and SE Ash St,,Willamette,residential,,New,2010,488,3,,,,,,,3,6,,commercial mix,Yes,Summer,MiraDrain drainage layer,"Upper Roof: sedum mix; Lower Roof: ferns, grasses, native plants, sedums, strawberries; Entry Roof: native wildflowers, grasses, strawberries",,Ecoroofs Everywhere,
residence,SE 9th and Harney St,SE 9th and Harney St,924 SE HARNEY ST,Willamette,residential,,Reroof,2012,550,1,45.46197128,-122.6563721,High,45.46218,-122.657,High,4,4,,Phillips Extensive Growing Media C,Yes,Overhead,,mixture of sedums and perennial flowering plants,,,
residence,128 NE 74th Ave,NE 74th Ave and NE Everett St,128 NE 74TH AVE,Willamette,residential,,New,2012,192,1,45.52383423,-122.586525,High,45.52464,-122.587,High,5,5,,Phillips extensive ecoroof mix,Yes,Soaker Hose,,"2 sedums, 2 grasses",,,
Ladd Tower,1300 SW Park Ave,1300 SW Park Ave,1300 SW PARK AVE,Willamette,residential,,New,2009,6803,4,45.51546559,-122.6826961,High,45.51547,-122.683,High,4,,,American Hydrotech LiteTop - Extensive and LiteTop - Semi Intensive mix,Yes,Drip line,3-D drainage mat & drainage composite,Sedum mix,"Maintenance will be performed by Teufel Landscaping in accordance with American Hydrotech's maintenance procedures.  Maintenance is fairly minimal and includes regular inspections of the irrigation system, drainage, plants, growing media, weeding, plant replacement, soil testing, fertilization, and a warranty walk through.",Ecoroofs Everywhere,
Metro Regional Services Headquarters,600 NE Grand Ave,600 NE Grand Ave,600 NE GRAND AVE,Willamette,governmental,,Reroof,2005,2500,1,45.5275885,-122.6606108,High,45.52759,-122.661,High,3,3,,"10% Recycled Paper, 20% Compost, 70% Pumice",Yes,,composite drainage fabric layer (CCW MiraDRAIN 9800),Sedum mix,,,
Multnomah County Building,501 SE Hawthorne Blvd,501 SE Hawthorne Blvd,501 SE HAWTHORNE BLVD,Willamette,governmental,,Reroof,2003,12000,1,45.51187515,-122.6602554,High,45.51188,-122.660,High,6,6,,"""Propretary aggrigate from a local company""",Yes,,,,,,
OHSU Hatfield Research Center,"3251 SW Sam Jackson Park
 Rd","3251 SW Sam Jackson Park
 Rd","3251 SW SAM JACKSON PARK
 RD",Willamette,institutional,,Reroof,2011,1000,1,45.49924493,-122.6866637,High,45.49924,-122.687,High,4,4,,Phillips Soil Intensive Growing Mix B-4,Yes,,,,,SolTerra Systems,
OHSU,"3181 SW Sam Jackson Park
 Rd","3181 SW Sam Jackson Park
 Rd","3181 SW SAM JACKSON PARK
 RD",Willamette,institutional,,New,2006,4700,3,45.498459,-122.689056,High,45.49846,-122.689,High,2.5,2.5,,Phillips Soil Extensive Growing Mix C,Yes,,,,,,
residence,2105 N Webster St,N Webster St and N Gay Ave,2105 N WEBSTER ST,Columbia Slough,residential,,New,2009,760,1,45.56002426,-122.6888123,High,45.55981,-122.690,High,4,4,,Lightweight growing medium,Yes,Hand,,,,American Hydrotech,
Oregon College of Oriental Medicine,88 NW Couch St,88 NW Couch St,88 NW COUCH ST,Willamette,commercial,,Reroof,2012,2440,1,45.52382,-122.671127,High,45.52382,-122.671,High,,,,"Phillips Soil Products, Inc. Extensive Green Roof Growing Media C",No,,,Sedum mix,,,
residence,5078 SW Vermont St,SW 50th Ave and SW Vermont St,5078 SW VERMONT ST,Fanno/Tryon,residential,,New,2010,1290,1,45.47561264,-122.7295761,High,45.47648,-122.728,High,2.75,2.75,,Pumice/manure/paper/fiber lightweight organic mix,Yes,,,Sedum mix,,,
residence,3121 N Arlington Pl,N Arlington Pl and N Peninsular Ave,3121 N ARLINGTON PL,Columbia Slough,residential,,New,2009,140,1,45.58351898,-122.6984634,High,45.58330,-122.697,High,3,3,,"70% Top Soil, 20% Perlite, 10% Mulch",Yes,Hand,,,,,
Phoebe Rich Dermatology,2565 NW Lovejoy St,2565 NW Lovejoy St,2565 NW LOVEJOY ST,Willamette,commercial,,Reroof,2013,2069,1,45.52991867,-122.7038422,High,45.52992,-122.704,High,,,,"Phillips Soil Products, Inc. Intensive Green Media C",Yes,,,,,,
Por Que No,3524 N Mississippi St,3524 N Mississippi St,3524 N MISSISSIPPI ST,Willamette,commercial,Yes,New,2010,75,1,45.54814562,-122.6754823,High,45.54815,-122.675,High,,,,,No,,,,,Dan Manning,
POP PDX Airport Headquarters Building,7200 NE Airport Way,7200 NE Airport Way,7200 NE AIRPORT WAY,Columbia Slough,governmental,,New,2009,7000,1,45.58568247,-122.5910208,High,45.58568,-122.591,High,4,4,,LiveRoof Tray System,Yes,,,,,,
COP CBWTP building,5001 N Columbia Blvd,5001 N Columbia Blvd,5001 N COLUMBIA BLVD,Columbia Slough,governmental,,New,2006,200,1,45.5940979,-122.717886,High,45.59410,-122.718,High,4,4,,70% Pumice and 30% Organics,No,,,,,,
PSU Cramer Hall,1825 SW Broadway,1825 SW Broadway,1825 SW BROADWAY,Willamette,institutional,,Reroof,2012,2000,1,45.51182556,-122.684288,High,45.51183,-122.684,High,3,7,,"Phillips Soil, 7 Variations",,,,"Sedums, Wild Strawberries, Grasses",,,
PSU bike shelter,1136 SW Montgomery St,1136 SW Montgomery St,1136 SW MONTGOMERY ST,Willamette,institutional,,New,2010,1120,1,45.51304355,-122.6876099,High,45.51304,-122.688,High,,,,,No,,,,,,
PSU University Pointe,550 SW College St,550 SW College St,550 SW COLLEGE ST,Willamette,institutional,,New,2012,26000,1,45.50957479,-122.6831795,High,45.50957,-122.683,High,4,4,,American Hydrotech,Yes,,,Sedum Trays,,Dan Manning,
Rivermark Community Credit Union,2537 SE Hawthorne Blvd,2537 SE Hawthorne Blvd,2537 SE HAWTHORNE BLVD,Willamette,commercial,,New,2010,1270,3,45.51236343,-122.6397095,High,45.51236,-122.640,High,4,4,Tiles,GeoEdge Tray System Soil Mix,No,,,,,,
residence,4234 NE Rodney Ave,NE Rodney Ave and NE Skidmore St,4234 NE RODNEY AVE,Willamette,residential,,New,2009,90,1,45.55413097,-122.6645999,High,45.55459,-122.665,High,4,4,,Sunmark Environmental Services LLC Earthlite,No,,,,,,
Cooley building,7853 SE 13th Ave,7853 SE 13th Ave,7853 SE 13TH AVE,Johnson Creek,commercial,,New,2010,4480,1,45.46773434,-122.6530644,High,45.46773,-122.653,High,3.5,3.5,,Pro-Gro Light,Yes,,,,,,
residence,208 SW Marconi Ave,SW Marconi Ave and SW Park Pl,208 SW MARCONI AVE,Willamette,residential,,New,2013,180,1,45.52255249,-122.7050095,High,45.52179,-122.705,High,,,,,Yes,Hand,,Ornamental blue grass and a mix of sedum,,,
PSU Shattuck Ecological Learning Plaza,1914 SW Park Ave,1914 SW Park Ave,1914 SW PARK AVE,Willamette,institutional,,New,2012,120,1,45.51067047,-122.6853474,High,45.51067,-122.685,High,8,11,,20 - 30% Organics Semi-Intensive Engineered soil,Yes,Hand,,,,,
UP Shiley Hall,5000 N Willamette Blvd,5000 N Willamette Blvd,5000 N WILLAMETTE BLVD,Willamette,institutional,Yes,New,2009,2750,1,45.5725975,-122.7270355,High,45.57260,-122.727,High,2.5,3.5,,extensive low-organic/high-mineral composition soil mix,Yes ,drip,,,,,
residence,4400 NE Skidmore St,NE Skidmore St and NE 42nd Ave,4400 NE SKIDMORE ST,Columbia Slough,residential,,New,2013,1500,1,45.55369779,-122.6181507,High,45.55371,-122.620,High,4,6,,Pro-Gro Extensive,Yes,Temporary,,,,,
St Andrews Church,806 NE Alberta St,806 NE Alberta St,806 NE ALBERTA ST,Columbia Slough,institutional,,New,2010,1400,1,45.55905752,-122.6572882,High,45.55906,-122.657,High,4,4,"4"" (tiles)",LiveRoof Engineered Soil,,,,Green Feathers Mixes,,,
residence,3333 NE Fremont St,NE Fremont St and NE 33rd Pl,3333 NE FREMONT ST,Willamette,residential,,Reroof,2011,350,1,45.54846954,-122.6299591,High,45.54826,-122.630,High,,,,,,,,,,,
residence,2182 SW Yamhill St,SW Yamhill St and SW St Clair Ave,2182 SW YAMHILL ST,Willamette,residental,,New,2010,316,11,45.522362,-122.69639,Manual,45.52256,-122.697,Manual,6,6,,Pro-Gro Semi Intensive Mix,Yes ,Hand,,,,Dan Manning,
Cafe au Play,5633 SE Division St,5633 SE Division St,5633 SE DIVISION ST,Willamette,commercial,,New,2011,70,1,45.50556564,-122.6054535,High,45.50557,-122.605,High,4,4,,Organic and Non-Organic,No,,,,,,
residence,4704 SW 25th Ave,SW 25th Ave and SW 19th Dr,4704 SW 25TH AVE,Fanno/Tryon,residential,,New,2012,675,1,45.48897552,-122.7023315,High,45.48826,-122.703,High,,,,,Yes ,drip,,,,,
The Emery,3155 SW Moody Ave,3155 SW Moody Ave,3155 SW MOODY AVE,Willamette,commercial,,New,2013,9316,1,45.49969889,-122.671591,High,45.49970,-122.672,High,4,4,,,,,,,,,
The Janey,1155 NW Everett St,316 NW 12th Ave,,Willamette,residential,,New,2012,4900,1,45.52530795,-122.6831648,High,45.52531,-122.683,High,3,3,"3"" minimum medium, planted with tiles","Phillips Soil Products, 'Extensive Blend C'",Yes,,drain mat,Sedum mix,"Maintenance is expected to occur twice per month and include pruning, sprinkler maintenance, and plant replacement on as as-needed basis.",,
Linden,1250 E Burnside St,1250 E Burnside St,1250 E BURNSIDE ST,Willamette,commercial,,New,2013,17400,1,45.52286513,-122.6530295,High,45.52287,-122.653,High,6,,,Unknown,,,,"Sedum, Ferns, Birch Trees",,Dan Manning,
Ramona Apartments,1550 NW 14th Ave,1550 NW 14th Ave,1550 NW 14TH AVE,Willamette,commercial,Yes,New,2011,31600,1,45.53397082,-122.6855211,High,45.53397,-122.686,High,3.5,3.5,,Two different extensive soil mixes,,,,,,,
Sacramento Lofts,506-528 NE Sacramento St,506-528 NE Sacramento St,506-528 NE SACRAMENTO ST,Willamette,commercial,,New,2009,1800,8,45.54092026,-122.5970078,Medium,45.53956,-122.661,Manual,0,0,Tiles (LiveRoof),LiveRoof engineered growing medium,,,,,,Dan Manning,
residence,3973 NE 7th Ave,NE 7th Ave and NE Shaver St,3973 NE 7TH AVE,Willamette,residential,,Reroof,2010,170,1,45.55194092,-122.658905,High,45.55207,-122.659,High,3,3,,Phillips Soil Products Growing Medium 'C', ,Unknown (Hand?),,,,,
Trillium Charter School,5420 N. Interstate Ave,5420 N. Interstate Ave,5420 N INTERSTATE AVE,Willamette,institutional,,Reroof,2010,1116,1,45.562335,-122.682014,Manual,45.562335,-122.682014,Manual,8,8,,Philips Soil Product Edible Greenroof Soil,Yes,,,,,,
Thom Ross Building,2714 SE Ankeny St,2714 SE Ankeny St,2714 SE ANKENY ST,Willamette,commercial,,Reroof,2010,7000,1,45.52194214,-122.6379547,High,45.52194,-122.638,High,,,,,Yes,,,,,Dan Manning,
residence,2824 SE Yamhill St,SE 29th Ave and SE Yamhill St,2824 SE YAMHILL ST,Willamette,residential,,Reroof,2011,310,1,45.51550674,-122.6365051,High,45.51572,-122.636,High,3,3,,Philips Soil Products FLL-Certified Growing Media,,Unknown (Hand?),,,,,
residence,301 NE 65th Ave,NE 65th Ave and NE Davis St,301 NE 65TH AVE,Willamette,residential,,New,2009,385,1,45.52481461,-122.5975342,High,45.52415,-122.597,High,3,5,,Earthlite Extensive Value Blend,Yes,Hand,,,,,
Bethany Athletic Club,15670 NW Central Dr,15670 NW Central Dr,15670 NW CENTRAL DR,,commercial,,New,2006,500,1,45.55428696,-122.8380203,High,45.55429,-122.838,High,,,,,,,,,,,
Cathedral Park Place,6635 N Baltimore Ave,6635 N Baltimore Ave,6635 N BALTIMORE AVE,Willamette,commercial,,Reroof,2005,600,1,45.58871269,-122.761026,High,45.58871,-122.761,High,,,,,,,,,,,
Cathedral Park Place,6635 N Baltimore Ave,6635 N Baltimore Ave,6635 N BALTIMORE AVE,Willamette,commercial,,Reroof,2005,6500,1,45.58871269,-122.761026,High,45.58871,-122.761,High,,,,,,,,,,,
Dolph Creek Townhomes,3102-3154 SW Dolph Ct,3102-3154 SW Dolph Ct,3102-3154 SW DOLPH CT,Fanno/Tryon,commercial,,New,2006,1470,6,45.46186066,-122.7329407,Medium,45.46186,-122.733,Medium,,,,,,,,,,,
Gunderson #1,4350 NW Front Ave,4350 NW Front Ave,4350 NW FRONT AVE,Willamette,commercial,,New,2011,1000,1,45.5521971,-122.7156799,High,45.55220,-122.716,High,,,,,,,,,,,
Gunderson #2,4350 NW Front Ave,4350 NW Front Ave,4350 NW FRONT AVE,Willamette,commercial,,New,2012,2400,1,,,,,,,,,,,,,,,,,
Village at The Headwaters,3131 SW Marigold St,3131 SW Marigold St,3131 SW MARIGOLD ST,Fanno/Tryon,commercial,Yes,New,2007,14400,1,45.46105194,-122.7090683,High,45.46105,-122.709,High,,,,,,,,,,,
COP Headwaters,8846 SW 30th Ave,8846 SW 30th Ave,8846 SW 30TH AVE,Fanno/Tryon,commercial,,New,2006,80,1,45.46097584,-122.7076406,High,45.46098,-122.708,High,,,,,,,,,,,
Dealer's Supply,2345 NW Nicolai,2345 NW Nicolai,2345 NW NICOLAI,Willamette,commercial,,New,2013,4500,1,45.54160309,-122.7005615,High,45.54160,-122.701,High,,,,,,,,,,,
The Jefferson,1234 SW 18th Ave,1234 SW 18th Ave,1234 SW 18TH AVE,Willamette,commercial,,New,2009,3600,1,45.5183664,-122.6923721,High,45.51837,-122.692,High,,,,,,,,,,,
The Morrison,1926 W Burnside St,1926 W Burnside St,1926 W BURNSIDE ST,Willamette,commercial,,New,2007,12000,1,45.52298516,-122.6904,High,45.52299,-122.690,High,,,,,,,,,,,
Lost and Found Lounge,5426 N Gay Ave,5426 N Gay Ave,5426 N GAY AVE,Columbia Slough,commercial,,Reroof,2007,630,1,45.56250381,-122.689743,High,45.56250,-122.690,High,,,,,,,,,,,
Atwater Place,0841 SW Gaines St,0841 SW Gaines St,0841 SW GAINES ST,Willamette,commercial,,New,2008,24500,4,45.4960826,-122.6872283,High,45.49608,-122.687,High,,,,,,,,,,,
The Empress,20 NW 16th Ave,20 NW 16th Ave,20 NW 16TH AVE,Willamette,commercial,,Reroof,2012,250,1,45.52308574,-122.6871237,High,45.52309,-122.687,High,,,,,,,,,,,
Vestas,1417 NW Everett St,1417 NW Everett St,1417 NW EVERETT ST,Willamette,commercial,Yes,Reroof,2012,15600,1,45.52539444,-122.6857605,High,45.52539,-122.686,High,,,,,,,,,,,
Mosaic,1400 SW 11th Ave,1400 SW 11th Ave,1400 SW 11TH AVE,Willamette,commercial,,New,2003,3300,1,45.51549576,-122.6856666,High,45.51550,-122.686,High,,,,,,,,,,,
Jackson Machine Works,1115 NW 14th Ave,1115 NW 14th Ave,1115 NW 14TH AVE,Willamette,commercial,,New,2008,10270,2,45.53094059,-122.6855352,High,45.53094,-122.686,High,,,,,,,,,,,
The Lovejoy,1333 NW Lovejoy St,1333 NW Lovejoy St,1333 NW LOVEJOY ST,Willamette,commercial,,New,2008,23390,1,45.53008698,-122.6848163,High,45.53009,-122.685,High,,,,,,,,,,,
Indigo at Twelve West,430 SW 13th Ave,430 SW 13th Ave,430 SW 13TH AVE,Willamette,commercial,,New,2010,5000,1,45.52262172,-122.6841163,High,45.52262,-122.684,High,,,,,,,,,,,
The Wyatt,1125 NW 12th Ave,1125 NW 12th Ave,1125 NW 12TH AVE,Willamette,commercial,,New,2008,3400,1,45.53113556,-122.6837769,High,45.53114,-122.684,High,,,,,,,,,,,
Asa Flats and Lofts,1200 NW Marshall St,1200 NW Marshall St,1200 NW MARSHALL ST,Willamette,commercial,,New,2008,10500,2,45.53073138,-122.6836241,High,45.53073,-122.684,High,,,,,,,,,,,
